user_email,team,role_description,last_updated
ceo@example.com,Manchester Actuarial,Executive - all teams,2026-09-06 18:46:23
ceo@example.com,Manchester Finance,Executive - all teams,2026-09-01 16:00:32
ceo@example.com,Manchester Underwriting,Executive - all teams,2026-09-01 16:41:46
ceo@example.com,Manchester Technology,Executive - all teams,2026-09-05 08:04:46
ceo@example.com,London Legal,Executive - all teams,2026-09-06 17:29:42
ceo@example.com,London Risk,Executive - all teams,2026-09-04 08:32:38
ceo@example.com,London Change,Executive - all teams,2026-09-02 10:55:34
ceo@example.com,London Actuarial,Executive - all teams,2026-09-05 09:34:42
ceo@example.com,Dublin Underwriting,Executive - all teams,2026-09-02 14:10:18
ceo@example.com,Dublin Finance,Executive - all teams,2026-09-03 12:06:25
ceo@example.com,Amsterdam Change,Executive - all teams,2026-09-06 13:58:52
ceo@example.com,Brussels Actuarial,Executive - all teams,2026-09-01 09:07:26
ceo@example.com,Madrid Legal,Executive - all teams,2026-09-03 15:13:15
ceo@example.com,Paris Change,Executive - all teams,2026-09-01 13:17:40
ceo@example.com,Paris Underwriting,Executive - all teams,2026-09-01 10:09:45
ceo@example.com,Zurich Finance,Executive - all teams,2026-09-05 16:54:01
ceo@example.com,Zurich Change,Executive - all teams,2026-09-02 10:03:40
ceo@example.com,New York Change,Executive - all teams,2026-09-02 10:59:12
ceo@example.com,New York Technology,Executive - all teams,2026-09-05 11:58:01
ceo@example.com,New York Legal,Executive - all teams,2026-09-06 18:16:06
ceo@example.com,Charlotte Underwriting,Executive - all teams,2026-09-05 15:22:22
ceo@example.com,Hong Kong Finance,Executive - all teams,2026-09-01 08:21:40
ceo@example.com,Singapore Change,Executive - all teams,2026-09-05 13:16:52
ceo@example.com,Malaysia Underwriting,Executive - all teams,2026-09-01 11:50:38
cfo@example.com,Manchester Actuarial,Executive - all teams,2026-09-05 18:21:00
cfo@example.com,Manchester Finance,Executive - all teams,2026-09-06 10:37:49
cfo@example.com,Manchester Underwriting,Executive - all teams,2026-09-05 17:13:05
cfo@example.com,Manchester Technology,Executive - all teams,2026-09-03 10:33:16
cfo@example.com,London Legal,Executive - all teams,2026-09-02 14:02:37
cfo@example.com,London Risk,Executive - all teams,2026-09-01 08:39:30
cfo@example.com,London Change,Executive - all teams,2026-09-05 16:45:03
cfo@example.com,London Actuarial,Executive - all teams,2026-09-03 17:06:07
cfo@example.com,Dublin Underwriting,Executive - all teams,2026-09-06 18:54:34
cfo@example.com,Dublin Finance,Executive - all teams,2026-09-02 12:44:21
